epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47517,1.24752,3.96052,0.94161,0.01333,0.8,0.01952,0.01687,0.58953,3.55438,0.77949,6e-05,6e-05,6e-05
2,2.66299,1.03122,3.60875,0.88652,0.01333,0.8,0.02039,0.0178,0.47889,3.54074,0.77209,9.38e-05,9.38e-05,9.38e-05
3,3.84152,1.06349,3.54962,0.89711,0.01333,0.8,0.02044,0.01774,0.49666,3.52567,0.77545,7.48e-05,7.48e-05,7.48e-05
